,User,Tweets
0,theAllianceGG,"Pre-TI3 bootcamp throwback, hitting harder than a 6slotted CK!🥹💚 https://t.co/REkTIBjTgA"
1,JeffBezos,If you’re looking for some scary bedtime reading… https://t.co/wIPasl6mPt
2,theAllianceGG,"We're back again for another game of @valleague_ne!🫡

🆚 @HumanTripWires at 21:00CEST!

Feeling big clutches in the… https://t.co/aC7SRhDivz"
3,theAllianceGG,"Glad we're in your thoughts at least, @TeaGuvnor  🥹 https://t.co/0QEcJuOfLm"
4,theAllianceGG,"(･_･)っ
(っ /
 Lﾉ┘      

　 ∧___∧ 
⊂(・＿・ )  
　ヽ ⊂二/ 
 　(⌒)  /

／　　　　　  ＼　 
|　　●　　　●   |   CK is too strong
＼　　 _____     ／"
5,theAllianceGG,POGCRAZY! https://t.co/MrFjaioFgk
6,BarackObama,"It’s despicable, it’s dangerous — and it needs to stop.
https://t.co/0Ch2ZosMhB"
7,BarackObama,We need to repudiate in the strongest terms the politicians and media figures who — whether for political gain or t… https://t.co/HCPhE2jF20
8,BarackObama,This weekend’s shootings in Buffalo offer a tragic reminder of the price we pay for refusing to curb the easy acces… https://t.co/hed5gQqy6W
9,theAllianceGG,"Halfway there!
What do you think @FollowAkke said that would warrant this reaction from @LodaBerg &amp; @s4dota?🤨 https://t.co/0SvjT8x0F8"
10,theAllianceGG,"Bem-vindo, @MIBR! Time to #RiseToTheNextLevel!🙌 https://t.co/dJn2a9wyuP"
11,JeffBezos,"their best to add another $3.5 TRILLION to federal spending. They failed, but if they had succeeded, inflation woul… https://t.co/wiOYhTOe04"
12,JeffBezos,"Look, a squirrel! This is the White House’s statement about my recent tweets. They understandably want to muddy the… https://t.co/PaeUJp3wWO"
13,JeffBezos,"25 years ago yesterday, AMZN went public. As the Grateful Dead would say, “What a long, strange trip it’s been.”

I… https://t.co/Auhi4xKr1U"
14,BarackObama,I’m proud to announce the Voyager Scholarship with my friend @bchesky. We hope to provide young people with an inte… https://t.co/OpsZkYXia4
15,theAllianceGG,"Welcoming our #NBPL roster!⚔️

𝗧𝗿𝗶𝗼𝘀 𝗱𝗶𝘃𝗶𝘀𝗶𝗼𝗻:
🔸[A]丶小羊
🔸[A]丶Sui
🔸[A]、Aike
🔸[A]、菠萝xD 
𝗦𝗼𝗹𝗼 𝗱𝗶𝘃𝗶𝘀𝗶𝗼𝗻:
🔹[A]丶JuX 

📣 [A… https://t.co/nV0bdPwZY5"
16,theAllianceGG,"You thought the nerfs was enough? Think again!😱
#ESLOne https://t.co/HFRqgREBFk"
17,Medicare1stAid,"Between sunburn and barbecue burns, summertime might mean the burn section of your home first aid kit is used than… https://t.co/MKfkRvETX7"
18,theAllianceGG,Who else is coming?🤩 https://t.co/86XSTjMoi2
19,theAllianceGG,"Day3! DreamHack Summer 2013, joindota comments
""𝒋𝒖𝒔𝒕 2-3 𝒎𝒐𝒏𝒕𝒉𝒔 𝒐𝒇 𝒈𝒍𝒐𝒓𝒚 𝒂𝒏𝒅 𝒖 𝒕𝒉𝒊𝒏𝒌 𝒕𝒉𝒐𝒔𝒆 𝒔𝒘𝒆𝒅𝒊𝒔𝒉 𝒏𝒂𝒃𝒔 𝒉𝒂𝒗𝒆 𝒂 𝒇𝒖𝒕𝒖… https://t.co/2h1RTJVGKO"
